id,q_entrance,q_exit,loss,optimal,is_source
166,0.358284047,0.095353952,0.262930095,0.358284047,0
202,0.144603378,0.021417039,0.12318634,0.144603378,0
206,1.777462706,3.174694286,-1.39723158,1.777462706,0
210,12.17926192,9.168265394,3.010996523,12.17926192,1
211,6.632752686,6.699598648,-0.066845962,6.632752686,0
193,5.297787094,6.141050605,-0.843263511,5.297787094,0
194,4.984571694,2.073368297,2.911203398,4.984571694,0
185,0.012928798,0,0.012928798,0.012928798,0
186,0.055276268,0,0.055276268,0.055276268,0
167,0,0,0,0,0
169,0,0,0,0,0
138,6.032755016,0.853744015,5.179011001,6.032755016,0
139,4.954264454,6.0017016,-1.047437145,4.954264454,0
208,0,0,0,0,0
209,0,0,0,0,0
177,3.159996191,3.314151758,-0.154155567,3.159996191,0
178,0,0,0,0,0
171,0.315319291,0.731797514,-0.416478223,0.315319291,0
174,0.263128712,0.781516846,-0.518388134,0.263128712,0
175,0.127599354,0.019065496,0.108533858,0.127599354,0
176,0.084872975,0.029172273,0.055700702,0.084872975,0
220,8.170768416,7.412480197,0.758288219,8.170768416,0
221,1.225236408,1.225236408,0,1.225236408,0
199,2.124454497,1.090985117,1.033469381,2.124454497,0
203,10.03964628,0.950077015,9.089569261,10.03964628,0
207,3.339274578,1.201829014,2.137445564,3.339274578,0
140,0.654883326,0.344931639,0.309951688,0.654883326,0
141,0.729684818,0.729684818,0,0.729684818,0
142,1.418719346,3.242566071,-1.823846725,1.418719346,0
214,0,0,0,0,0
215,0,0,0,0,0
204,0,0,0,0,0
205,3.330825699,3.752045453,-0.421219754,3.330825699,0
197,0.015281729,0.027850867,-0.012569138,0.015281729,0
198,0.357925591,0.357925591,0,0.357925591,0
179,0.367290529,0.726925262,-0.359634734,0.367290529,0
180,0,0,0,0,0
183,0.01116375,0.001988262,0.009175488,0.01116375,0
184,0.007218124,0.013167663,-0.005949539,0.007218124,0
224,5.058438404,4.393963078,0.664475326,5.058438404,0
225,2.931103036,2.931103036,0,2.931103036,0
222,2.128593464,0.508890981,1.619702483,2.128593464,0
223,0.419280425,3.646911876,-3.227631451,0.419280425,0
212,0.568777172,0.236618605,0.332158566,0.568777172,0
213,1.079632489,0.103198854,0.976433635,1.079632489,0
232,0.522287817,0.490054066,0.032233751,0.522287817,0
233,0.40762167,0.450880225,-0.043258555,0.40762167,0
234,0.12334666,0.12334666,0,0.12334666,0
147,1.600910867,2.332223689,-0.731312822,1.600910867,0
148,7.718265722,7.28491733,0.433348392,7.718265722,0
251,0,0,0,0,0
252,0,0,0,0,0
216,0.16617266,0.000108062,0.166064598,0.16617266,0
217,2.572154531,3.1026454,-0.530490869,2.572154531,0
200,0,0,0,0,0
201,0.02225565,0,0.02225565,0.02225565,0
